# 
# Name: Chip 11_Device_1-_Transfer_Dark
# Run: 1
# Profile: \transfer
# Device: Agilent 4155C
# Time and Date: 
# 
# SMU 0: Source (Constant at 0 V, Measuring Current with Compliance at 0.00100000000000 A)
# SMU 2: Gate (Sweep from 0 V to -50.0000 V in 1.0000 V Steps, Measuring Current with Compliance at 0.00100000000000 A)
# SMU 3: Drain (Constant at -50.0000 V, Measuring Current with Compliance at 0.00100000000000 A)
# 
# Hold Time: 0.100 s
# Measurement Time: 0.00200 s
# 
# Measurement Notes:
# 
# Chip 11_Device_1-_Transfer_Dark
# Device 1 = 45um
# Device 2 = 90um
# Device 3 = 135um
# Device 4 =  180um
# 
# The first half of columns contains the levels that have been set, the second half the measured values for these levels.
# 
# Source [V]	Gate [V]	Drain [V]	Source [A]	Gate [A]	Drain [A]	
# 
0	-17.0000	-50.0000	0.000000000318734	-0.0000000000181740	-0.000000000440742
0	-18.0000	-50.0000	0.000000000829103	-0.000000000186647	-0.000000000584369
0	-19.0000	-50.0000	0.00000000117252	-0.000000000204873	-0.000000000967998
0	-20.0000	-50.0000	0.00000000182581	-0.000000000457287	-0.00000000127904
0	-21.0000	-50.0000	0.00000000269297	-0.000000000618422	-0.00000000211656
0	-22.0000	-50.0000	0.00000000367808	-0.000000000625973	-0.00000000336676
0	-23.0000	-50.0000	0.00000000527117	-0.000000000664714	-0.00000000457912
0	-24.0000	-50.0000	0.00000000751421	-0.000000000745283	-0.00000000679334
0	-25.0000	-50.0000	0.0000000103527	-0.000000000756663	-0.00000000980743
0	-26.0000	-50.0000	0.0000000137940	-0.000000000736586	-0.0000000134038
0	-27.0000	-50.0000	0.0000000186233	-0.000000000861957	-0.0000000179862
0	-28.0000	-50.0000	0.0000000246677	-0.000000000586350	-0.0000000240956
0	-29.0000	-50.0000	0.0000000323038	-0.000000000753119	-0.0000000324817
0	-30.0000	-50.0000	0.0000000426003	-0.000000000606094	-0.0000000425642
0	-31.0000	-50.0000	0.0000000549768	-0.000000000565473	-0.0000000548545
0	-32.0000	-50.0000	0.0000000714786	-0.000000000419008	-0.0000000713437
0	-33.0000	-50.0000	0.0000000906250	-0.000000000325471	-0.0000000911822
0	-34.0000	-50.0000	0.000000115292	-0.000000000531586	-0.000000116379
0	-35.0000	-50.0000	0.000000144352	-0.000000000564551	-0.000000144636
0	-36.0000	-50.0000	0.000000179851	-0.000000000397529	-0.000000182025
0	-37.0000	-50.0000	0.000000221753	-0.000000000507149	-0.000000222813
0	-38.0000	-50.0000	0.000000271258	-0.000000000494714	-0.000000274021
0	-39.0000	-50.0000	0.000000329624	-0.000000000376933	-0.000000332851
0	-40.0000	-50.0000	0.000000397890	-0.000000000370929	-0.000000401020
0	-41.0000	-50.0000	0.000000454343	-0.000000000630785	-0.000000463658
0	-42.0000	-50.0000	0.000000542621	-0.000000000475542	-0.000000549898
0	-43.0000	-50.0000	0.000000638064	-0.000000000410933	-0.000000642651
0	-44.0000	-50.0000	0.000000737648	-0.000000000304498	-0.000000746182
0	-45.0000	-50.0000	0.000000845398	-0.000000000606738	-0.000000851545
0	-46.0000	-50.0000	0.000000961346	-0.000000000499064	-0.000000968650
0	-47.0000	-50.0000	0.00000108303	-0.000000000504806	-0.00000108966
0	-48.0000	-50.0000	0.00000120932	-0.000000000496328	-0.00000121590
0	-49.0000	-50.0000	0.00000134086	-0.000000000299684	-0.00000134903
0	-50.0000	-50.0000	0.00000147591	-0.000000000223154	-0.00000148226
0	-50.0000	-50.0000	0.00000149011	-0.000000000227866	-0.00000149244
0	-49.0000	-50.0000	0.00000137518	-0.0000000000400180	-0.00000137606
0	-48.0000	-50.0000	0.00000126069	-0.0000000000948450	-0.00000125956
0	-47.0000	-50.0000	0.00000114776	0.000000000251073	-0.00000114578
0	-46.0000	-50.0000	0.00000103754	0.0000000000468420	-0.00000103559
0	-45.0000	-50.0000	0.000000932165	0.000000000241956	-0.000000930329
0	-44.0000	-50.0000	0.000000832560	0.000000000312816	-0.000000829944
0	-43.0000	-50.0000	0.000000737567	0.000000000185196	-0.000000733882
0	-42.0000	-50.0000	0.000000648097	0.000000000354513	-0.000000645435
0	-41.0000	-50.0000	0.000000564228	0.000000000311185	-0.000000563195
0	-40.0000	-50.0000	0.000000464457	-0.000000000188813	-0.000000466411
0	-39.0000	-50.0000	0.000000403946	0.0000000000696910	-0.000000403369
0	-38.0000	-50.0000	0.000000345611	0.000000000383762	-0.000000346639
0	-37.0000	-50.0000	0.000000291983	0.000000000299111	-0.000000291093
0	-36.0000	-50.0000	0.000000245634	0.000000000275755	-0.000000243583
0	-35.0000	-50.0000	0.000000203202	0.000000000412682	-0.000000202081
0	-34.0000	-50.0000	0.000000165510	0.000000000475016	-0.000000165808
0	-33.0000	-50.0000	0.000000135157	0.000000000232442	-0.000000135300
0	-32.0000	-50.0000	0.000000108850	0.000000000424832	-0.000000108673
0	-31.0000	-50.0000	0.0000000869311	0.000000000283171	-0.0000000863673
0	-30.0000	-50.0000	0.0000000683932	0.000000000279323	-0.0000000684934
0	-29.0000	-50.0000	0.0000000529135	0.000000000333363	-0.0000000525907
0	-28.0000	-50.0000	0.0000000404749	0.000000000511005	-0.0000000407115
0	-27.0000	-50.0000	0.0000000308797	0.000000000336445	-0.0000000308832
0	-26.0000	-50.0000	0.0000000231039	0.000000000328563	-0.0000000232222
0	-25.0000	-50.0000	0.0000000171211	0.000000000563854	-0.0000000176142
0	-24.0000	-50.0000	0.0000000128126	0.000000000355397	-0.0000000132069
0	-23.0000	-50.0000	0.00000000937496	0.000000000390143	-0.00000000957642
0	-22.0000	-50.0000	0.00000000666650	0.000000000326242	-0.00000000719184
0	-21.0000	-50.0000	0.00000000481207	0.000000000378623	-0.00000000500380
0	-20.0000	-50.0000	0.00000000329880	0.000000000234402	-0.00000000341839
0	-19.0000	-50.0000	0.00000000203298	0.000000000472609	-0.00000000257473
0	-18.0000	-50.0000	0.00000000127320	0.000000000484496	-0.00000000181253
0	-17.0000	-50.0000	0.000000000962660	0.000000000224942	-0.00000000102979
0	-16.0000	-50.0000	0.000000000487977	0.000000000288192	-0.000000000717153
0	-15.0000	-50.0000	0.000000000358348	0.000000000320903	-0.000000000506216
0	-14.0000	-50.0000	0.0000000000235010	0.000000000123427	-0.000000000332213
0	-13.0000	-50.0000	0.000000000181143	0.000000000234920	-0.000000000307749
0	-12.0000	-50.0000	-0.0000000000311070	0.0000000000380420	-0.000000000340160
0	-11.0000	-50.0000	-0.000000000103589	0.000000000247713	-0.000000000289435
0	-10.0000	-50.0000	-0.00000000000725100	0.0000000000469310	0.0000000000238310
0	-9.0000	-50.0000	0.0000000000812890	0.000000000232750	-0.000000000223744
0	-8.0000	-50.0000	-0.0000000000768790	0.0000000000886560	-0.0000000000863470
0	-7.0000	-50.0000	-0.000000000117013	0.000000000169867	0.0000000000669190
0	-6.0000	-50.0000	0.0000000000597850	-0.0000000000109910	0.0000000000824540
0	-5.0000	-50.0000	-0.000000000130139	0.000000000179807	-0.000000000154172
0	-4.0000	-50.0000	-0.000000000171269	0.000000000197814	0.0000000000613370
0	-3.0000	-50.0000	-0.0000000000260780	0.000000000183580	0.0000000000248740
0	-2.0000	-50.0000	-0.0000000000835680	0.000000000163304	-0.000000000130863
0	-1.0000	-50.0000	-0.0000000000632880	0.000000000173272	-0.000000000144604
0	0.0000	-50.0000	-0.000000000157959	0.000000000161517	-0.000000000152028
